epoch,accuracy,learning_rate,loss,top_k_categorical_accuracy,val_accuracy,val_loss,val_top_k_categorical_accuracy
0,0.2068965584039688,9.999999747378752e-05,2.647951364517212,0.6481191515922546,0.28125,2.1980977058410645,0.65625
1,0.40625,9.999999747378752e-05,2.0229663848876953,0.75,0.2874999940395355,2.197993755340576,0.6625000238418579
2,0.4051724076271057,9.999999747378752e-05,1.89231276512146,0.8001567125320435,0.3812499940395355,1.9587962627410889,0.7875000238418579
3,0.65625,9.999999747378752e-05,1.1458052396774292,0.96875,0.39375001192092896,1.9369598627090454,0.793749988079071
4,0.544670820236206,9.999999747378752e-05,1.4512473344802856,0.8989028334617615,0.512499988079071,1.4467291831970215,0.925000011920929
5,0.4375,9.999999747378752e-05,1.4604283571243286,0.875,0.5062500238418579,1.4448567628860474,0.925000011920929
6,0.6731975078582764,9.999999747378752e-05,1.113822102546692,0.9514106512069702,0.6000000238418579,1.203895092010498,0.9375
7,0.4375,9.999999747378752e-05,1.393219232559204,0.96875,0.6000000238418579,1.1996939182281494,0.9375
8,0.7695924639701843,9.999999747378752e-05,0.9147871732711792,0.9733542203903198,0.606249988079071,1.1813905239105225,0.9312499761581421
9,0.6875,9.999999747378752e-05,1.1932767629623413,0.90625,0.606249988079071,1.1837173700332642,0.9312499761581421
10,0.8079937100410461,9.999999747378752e-05,0.7517414689064026,0.9811912178993225,0.6312500238418579,1.1225788593292236,0.9312499761581421
11,0.9375,9.999999747378752e-05,0.613373875617981,0.96875,0.637499988079071,1.1220510005950928,0.9312499761581421
12,0.8534482717514038,9.999999747378752e-05,0.6736850142478943,0.9866771101951599,0.6499999761581421,1.0277197360992432,0.9624999761581421
13,0.90625,9.999999747378752e-05,0.6894224882125854,0.9375,0.6499999761581421,1.032321572303772,0.9624999761581421
14,0.8644200563430786,9.999999747378752e-05,0.6270771026611328,0.9858934283256531,0.762499988079071,0.8937983512878418,0.9437500238418579
15,0.90625,9.999999747378752e-05,0.46624755859375,1.0,0.762499988079071,0.8907087445259094,0.9437500238418579
16,0.9051724076271057,9.999999747378752e-05,0.5169095396995544,0.9937304258346558,0.731249988079071,0.9087117314338684,0.9624999761581421
17,0.90625,9.999999747378752e-05,0.518310010433197,1.0,0.737500011920929,0.9017442464828491,0.96875
18,0.9271159768104553,9.999999747378752e-05,0.4502394497394562,0.9952977895736694,0.7562500238418579,0.7695220708847046,0.9750000238418579
19,0.90625,9.999999747378752e-05,0.44741907715797424,1.0,0.7562500238418579,0.7631360292434692,0.9750000238418579
20,0.9051724076271057,9.999999747378752e-05,0.4656520485877991,0.9968652129173279,0.824999988079071,0.6651929616928101,0.9750000238418579
21,0.96875,9.999999747378752e-05,0.37399226427078247,0.96875,0.8187500238418579,0.6682306528091431,0.9750000238418579
22,0.9333855509757996,9.999999747378752e-05,0.42322227358818054,0.9937304258346558,0.8062499761581421,0.6442400813102722,0.9750000238418579
23,0.9375,9.999999747378752e-05,0.46741217374801636,1.0,0.8062499761581421,0.6426703929901123,0.9750000238418579
24,0.9208464026451111,9.999999747378752e-05,0.3963659405708313,0.9976488947868347,0.793749988079071,0.6801268458366394,0.9750000238418579
25,0.875,9.999999747378752e-05,0.539129912853241,1.0,0.7875000238418579,0.6844419240951538,0.9750000238418579
26,0.9474921822547913,9.999999747378752e-05,0.35316818952560425,0.9984325766563416,0.8187500238418579,0.6391810178756714,0.96875
27,0.96875,9.999999747378752e-05,0.30590537190437317,1.0,0.831250011920929,0.6324335336685181,0.96875
28,0.9404388666152954,9.999999747378752e-05,0.3567217290401459,0.9968652129173279,0.856249988079071,0.5083261728286743,0.981249988079071
29,1.0,9.999999747378752e-05,0.3050064444541931,1.0,0.856249988079071,0.5061894655227661,0.981249988079071
30,0.955329179763794,9.999999747378752e-05,0.3238503932952881,0.9968652129173279,0.8500000238418579,0.5565605163574219,0.9750000238418579
31,1.0,9.999999747378752e-05,0.27553790807724,1.0,0.8500000238418579,0.5571472644805908,0.9750000238418579
32,0.9600313305854797,9.999999747378752e-05,0.2962057888507843,0.9992163181304932,0.856249988079071,0.5644334554672241,0.96875
33,0.875,2.9999999242136255e-05,0.4222612679004669,1.0,0.856249988079071,0.5648496150970459,0.96875
34,0.962382435798645,2.9999999242136255e-05,0.2747829556465149,0.9984325766563416,0.8687499761581421,0.5498777627944946,0.96875
35,1.0,2.9999999242136255e-05,0.21651819348335266,1.0,0.8687499761581421,0.549175500869751,0.96875
36,0.9639498591423035,8.999999408842996e-06,0.27445411682128906,0.9992163181304932,0.8687499761581421,0.5416634678840637,0.9750000238418579
37,0.90625,8.999999408842996e-06,0.4142993688583374,1.0,0.8687499761581421,0.5411297678947449,0.9750000238418579
38,0.9670846462249756,8.999999408842996e-06,0.2759460210800171,0.9984325766563416,0.8812500238418579,0.5357662439346313,0.96875
39,0.96875,2.699999868127634e-06,0.2856394350528717,1.0,0.8812500238418579,0.5359047055244446,0.96875
40,0.9600313305854797,2.699999868127634e-06,0.28941357135772705,1.0,0.8687499761581421,0.5281890630722046,0.96875
41,0.96875,2.699999868127634e-06,0.24055007100105286,1.0,0.8687499761581421,0.5275970697402954,0.96875
42,0.9670846462249756,9.999999974752427e-07,0.26807212829589844,1.0,0.875,0.5259684920310974,0.96875
43,0.9375,9.999999974752427e-07,0.3269115686416626,1.0,0.875,0.5258607864379883,0.96875
44,0.9655172228813171,9.999999974752427e-07,0.2840970456600189,0.9992163181304932,0.875,0.5206394791603088,0.96875
45,0.90625,9.999999974752427e-07,0.31613364815711975,1.0,0.875,0.5205922722816467,0.96875
46,0.9686520099639893,9.999999974752427e-07,0.26365599036216736,0.9976488947868347,0.8812500238418579,0.5164317488670349,0.96875
47,1.0,9.999999974752427e-07,0.1834109127521515,1.0,0.8812500238418579,0.5166628956794739,0.96875
48,0.9670846462249756,9.999999974752427e-07,0.27330055832862854,0.9992163181304932,0.8812500238418579,0.5147729516029358,0.96875
